filename,line_number,content
circulation_pump_diagnostics.md,1,# Circulation Pump Diagnostic and Fault Finding Guide
circulation_pump_diagnostics.md,2,
circulation_pump_diagnostics.md,3,"This comprehensive guide covers advanced diagnostic procedures for circulation pumps in heating systems, including variable speed pumps, ECM technology, and specialized troubleshooting techniques beyond basic checks."
circulation_pump_diagnostics.md,4,
circulation_pump_diagnostics.md,5,## PART 1: UNDERSTANDING MODERN CIRCULATION PUMPS
circulation_pump_diagnostics.md,6,
circulation_pump_diagnostics.md,7,### Pump Technology Overview
circulation_pump_diagnostics.md,8,
circulation_pump_diagnostics.md,9,**1. Standard Fixed-Speed Pumps**
circulation_pump_diagnostics.md,10,- **Single-Speed**: Basic on/off operation
circulation_pump_diagnostics.md,11,- **Multi-Speed**: Manual selection of fixed speeds (typically 3)
circulation_pump_diagnostics.md,12,- **Permanent Split Capacitor (PSC) Motors**: Traditional technology
circulation_pump_diagnostics.md,13,
circulation_pump_diagnostics.md,14,**2. Variable Speed Pumps**
circulation_pump_diagnostics.md,15,- **Electronically Commutated Motors (ECM)**: Highly efficient DC motors
circulation_pump_diagnostics.md,16,- **PWM-Controlled**: External signal modulates speed
circulation_pump_diagnostics.md,17,- **Self-Modulating**: Internal programming adjusts to system conditions
circulation_pump_diagnostics.md,18,- **Smart Pumps**: Network connectivity and advanced control integration
circulation_pump_diagnostics.md,19,
circulation_pump_diagnostics.md,20,**3. Key Components**
circulation_pump_diagnostics.md,21,- **Pump Housing**: Contains impeller and water channels
circulation_pump_diagnostics.md,22,- **Impeller**: Creates water movement
circulation_pump_diagnostics.md,23,- **Rotor/Stator**: Electrical components that create rotation
circulation_pump_diagnostics.md,24,- **Control Module**: Houses electronics for variable speed models
circulation_pump_diagnostics.md,25,"- **Sensors**: Pressure differentials, temperature, flow detection"
circulation_pump_diagnostics.md,26,
circulation_pump_diagnostics.md,27,### Pump Operation Principles
circulation_pump_diagnostics.md,28,
circulation_pump_diagnostics.md,29,**1. System Resistance Curve**
circulation_pump_diagnostics.md,30,- Relationship between flow rate and pressure
circulation_pump_diagnostics.md,31,"- Affected by pipework, valves, heat exchangers"
circulation_pump_diagnostics.md,32,- Changes as system components open/close
circulation_pump_diagnostics.md,33,
circulation_pump_diagnostics.md,34,**2. Pump Performance Curve**
circulation_pump_diagnostics.md,35,- Head pressure vs. flow rate
circulation_pump_diagnostics.md,36,- Each pump has a specific performance profile
circulation_pump_diagnostics.md,37,- Multiple curves for different speeds
circulation_pump_diagnostics.md,38,
circulation_pump_diagnostics.md,39,**3. Balance Point**
circulation_pump_diagnostics.md,40,- Intersection of system curve and pump curve
circulation_pump_diagnostics.md,41,- Determines actual operating condition
circulation_pump_diagnostics.md,42,- Changes as speed or system conditions vary
circulation_pump_diagnostics.md,43,
circulation_pump_diagnostics.md,44,**4. Control Modes**
circulation_pump_diagnostics.md,45,- Constant pressure
circulation_pump_diagnostics.md,46,- Proportional pressure
circulation_pump_diagnostics.md,47,- Constant curve (fixed speed)
circulation_pump_diagnostics.md,48,- Temperature differential
circulation_pump_diagnostics.md,49,- Auto adapt (smart algorithms)
circulation_pump_diagnostics.md,50,
circulation_pump_diagnostics.md,51,## PART 2: VARIABLE SPEED PUMP PROBLEMS
circulation_pump_diagnostics.md,52,
circulation_pump_diagnostics.md,53,### Control Signal Issues
circulation_pump_diagnostics.md,54,
circulation_pump_diagnostics.md,55,**Symptoms:**
circulation_pump_diagnostics.md,56,- Pump running at incorrect speed
circulation_pump_diagnostics.md,57,- Failure to modulate appropriately
circulation_pump_diagnostics.md,58,"- ""Maximum"" or ""Minimum"" speed regardless of demand"
circulation_pump_diagnostics.md,59,- Erratic speed changes
circulation_pump_diagnostics.md,60,- Error codes related to control signals
circulation_pump_diagnostics.md,61,- Temperature fluctuations in heating system
circulation_pump_diagnostics.md,62,
circulation_pump_diagnostics.md,63,**Diagnostic Procedures:**
circulation_pump_diagnostics.md,64,
circulation_pump_diagnostics.md,65,1. **Control Signal Verification**
circulation_pump_diagnostics.md,66,"   - Check signal type (0-10V, PWM, ModBus, etc.)"
circulation_pump_diagnostics.md,67,   - Measure voltage/duty cycle at pump terminals
circulation_pump_diagnostics.md,68,   - Verify connection integrity
circulation_pump_diagnostics.md,69,   - Check for interference/noise in signal
circulation_pump_diagnostics.md,70,   - Confirm signal ground reference
circulation_pump_diagnostics.md,71,
circulation_pump_diagnostics.md,72,2. **PWM Signal Testing**
circulation_pump_diagnostics.md,73,   - Measure frequency (typically 100-2000Hz)
circulation_pump_diagnostics.md,74,   - Check duty cycle (0-100%)
circulation_pump_diagnostics.md,75,   - Verify pulse amplitude
circulation_pump_diagnostics.md,76,   - Test with known good signal source if possible
circulation_pump_diagnostics.md,77,   - Check for signal stability
circulation_pump_diagnostics.md,78,
circulation_pump_diagnostics.md,79,3. **Control Interface Inspection**
circulation_pump_diagnostics.md,80,   - Verify DIP switch settings match system requirements
circulation_pump_diagnostics.md,81,   - Check jumper configurations
circulation_pump_diagnostics.md,82,   - Inspect for moisture or corrosion on control board
circulation_pump_diagnostics.md,83,   - Verify LED indicators match expected operation
circulation_pump_diagnostics.md,84,   - Test manual override functionality
circulation_pump_diagnostics.md,85,
circulation_pump_diagnostics.md,86,**Common Faults and Solutions:**
circulation_pump_diagnostics.md,87,
circulation_pump_diagnostics.md,88,1. **No Control Signal**
circulation_pump_diagnostics.md,89,   - Symptoms: Pump defaults to internal program or safety mode
circulation_pump_diagnostics.md,90,"   - Cause: Broken wires, controller failure, incorrect configuration"
circulation_pump_diagnostics.md,91,   - Solution:
circulation_pump_diagnostics.md,92,     * Repair damaged wiring
circulation_pump_diagnostics.md,93,     * Verify controller output
circulation_pump_diagnostics.md,94,     * Check configuration settings
circulation_pump_diagnostics.md,95,     * Consider signal isolator if electrical noise present
circulation_pump_diagnostics.md,96,
circulation_pump_diagnostics.md,97,2. **Incorrect Signal Type**
circulation_pump_diagnostics.md,98,"   - Symptoms: Erratic operation, unexpected speed"
circulation_pump_diagnostics.md,99,"   - Cause: Mismatched signal types, incorrect settings"
circulation_pump_diagnostics.md,100,   - Solution:
circulation_pump_diagnostics.md,101,     * Verify proper signal type (PWM vs. 0-10V)
circulation_pump_diagnostics.md,102,     * Check pump requirements against controller output
circulation_pump_diagnostics.md,103,     * Adjust settings to match required protocol
circulation_pump_diagnostics.md,104,     * Install signal converter if necessary
circulation_pump_diagnostics.md,105,
circulation_pump_diagnostics.md,106,3. **Inverted Signal Logic**
circulation_pump_diagnostics.md,107,   - Symptoms: Pump does opposite of intended (high speed at low demand)
circulation_pump_diagnostics.md,108,   - Cause: Incorrect signal profile configuration
circulation_pump_diagnostics.md,109,   - Solution:
circulation_pump_diagnostics.md,110,     * Check pump settings for PWM profile (Type 1/Type 2)
circulation_pump_diagnostics.md,111,     * Verify controller output logic matches pump requirements
circulation_pump_diagnostics.md,112,     * Adjust inverter settings if available
