filename,line_number,content
component_blockage_diagnosis_guide.md,1,# Comprehensive Guide to Diagnosing Heat Exchanger Blockages and Diverter Valve Faults
component_blockage_diagnosis_guide.md,2,
component_blockage_diagnosis_guide.md,3,"This guide provides detailed diagnostic procedures for three common boiler issues that heating engineers frequently encounter: plate heat exchanger blockages, main heat exchanger blockages, and diverter valve faults."
component_blockage_diagnosis_guide.md,4,
component_blockage_diagnosis_guide.md,5,## PART 1: DIAGNOSING PLATE HEAT EXCHANGER BLOCKAGES
component_blockage_diagnosis_guide.md,6,
component_blockage_diagnosis_guide.md,7,The plate heat exchanger (PHE) in a combi boiler transfers heat from the primary circuit to produce hot water for taps and showers. Blockages here directly affect hot water performance.
component_blockage_diagnosis_guide.md,8,
component_blockage_diagnosis_guide.md,9,### Symptoms of a Blocked Plate Heat Exchanger
component_blockage_diagnosis_guide.md,10,
component_blockage_diagnosis_guide.md,11,1. **Inconsistent Hot Water Temperature**
component_blockage_diagnosis_guide.md,12,   - Water temperature fluctuates during use
component_blockage_diagnosis_guide.md,13,   - Hot water that starts hot but quickly turns lukewarm
component_blockage_diagnosis_guide.md,14,   - Reduced flow rate from hot taps
component_blockage_diagnosis_guide.md,15,
component_blockage_diagnosis_guide.md,16,2. **Performance Issues**
component_blockage_diagnosis_guide.md,17,   - Longer time to produce hot water
component_blockage_diagnosis_guide.md,18,   - Hot water that never reaches desired temperature
component_blockage_diagnosis_guide.md,19,   - Normal heating function but poor hot water performance
component_blockage_diagnosis_guide.md,20,
component_blockage_diagnosis_guide.md,21,3. **Unusual Behavior**
component_blockage_diagnosis_guide.md,22,   - Boiler cycling on and off during hot water use
component_blockage_diagnosis_guide.md,23,"   - Error codes related to flow, temperature differential, or overheating"
component_blockage_diagnosis_guide.md,24,   - Heating works perfectly but hot water doesn't
component_blockage_diagnosis_guide.md,25,
component_blockage_diagnosis_guide.md,26,### Diagnostic Tests for Plate Heat Exchanger Blockages
component_blockage_diagnosis_guide.md,27,
component_blockage_diagnosis_guide.md,28,1. **Temperature Differential Test**
component_blockage_diagnosis_guide.md,29,   - Tools needed: Digital thermometer with contact probe
component_blockage_diagnosis_guide.md,30,   - Procedure:
component_blockage_diagnosis_guide.md,31,     1. Run hot water at a tap at normal flow rate
component_blockage_diagnosis_guide.md,32,     2. Measure temperature at PHE inlet and outlet pipes
component_blockage_diagnosis_guide.md,33,     3. Normal differential: 20-35°C (check manufacturer specs)
component_blockage_diagnosis_guide.md,34,     4. Blockage indicated if differential is too high (>40°C) or too low (<15°C)
component_blockage_diagnosis_guide.md,35,
component_blockage_diagnosis_guide.md,36,2. **Flow Rate Test**
component_blockage_diagnosis_guide.md,37,"   - Tools needed: Stopwatch, measuring container (1L or larger)"
component_blockage_diagnosis_guide.md,38,   - Procedure:
component_blockage_diagnosis_guide.md,39,     1. Turn hot water on full at a tap
component_blockage_diagnosis_guide.md,40,     2. Measure how long it takes to fill a specific volume
component_blockage_diagnosis_guide.md,41,     3. Calculate flow rate (liters per minute)
component_blockage_diagnosis_guide.md,42,     4. Compare to manufacturer specifications
component_blockage_diagnosis_guide.md,43,     5. Reduced flow rate (>20% below spec) suggests blockage
component_blockage_diagnosis_guide.md,44,
component_blockage_diagnosis_guide.md,45,3. **Pressure Differential Test**
component_blockage_diagnosis_guide.md,46,   - Tools needed: Two pressure gauges
component_blockage_diagnosis_guide.md,47,   - Procedure:
component_blockage_diagnosis_guide.md,48,     1. Install pressure gauges at PHE inlet and outlet
component_blockage_diagnosis_guide.md,49,     2. Run hot water at normal flow rate
component_blockage_diagnosis_guide.md,50,     3. Compare pressure readings
component_blockage_diagnosis_guide.md,51,     4. Excessive pressure drop (>0.5 bar) indicates blockage
component_blockage_diagnosis_guide.md,52,
component_blockage_diagnosis_guide.md,53,4. **Visual Inspection (if accessible)**
component_blockage_diagnosis_guide.md,54,"   - Tools needed: Flashlight, inspection mirror"
component_blockage_diagnosis_guide.md,55,   - Procedure:
component_blockage_diagnosis_guide.md,56,     1. Isolate and drain the PHE
component_blockage_diagnosis_guide.md,57,     2. Remove the PHE from the boiler
component_blockage_diagnosis_guide.md,58,"     3. Inspect plates for scaling, debris, or damage"
component_blockage_diagnosis_guide.md,59,     4. Check PHE ports for restrictions
component_blockage_diagnosis_guide.md,60,
