filename,line_number,content
gas_supply_diagnosis.md,1,# Gas Supply System Fault Finding Guide
gas_supply_diagnosis.md,2,
gas_supply_diagnosis.md,3,"This comprehensive guide covers diagnostic procedures for gas supply systems, addressing issues with Emergency Control Valves (ECVs), meters, governors, pipe sizing, pressure drop, leakage detection, and system testing."
gas_supply_diagnosis.md,4,
gas_supply_diagnosis.md,5,## PART 1: UNDERSTANDING GAS SUPPLY SYSTEMS
gas_supply_diagnosis.md,6,
gas_supply_diagnosis.md,7,### Gas Supply System Components
gas_supply_diagnosis.md,8,
gas_supply_diagnosis.md,9,**1. Customer-Side Components**
gas_supply_diagnosis.md,10,- **Emergency Control Valve (ECV)**: Main shut-off valve at property boundary
gas_supply_diagnosis.md,11,- **Gas Meter**: Measures gas consumption
gas_supply_diagnosis.md,12,- **Gas Governor**: Regulates pressure (where fitted)
gas_supply_diagnosis.md,13,- **Internal Pipework**: Distributes gas within property
gas_supply_diagnosis.md,14,- **Appliance Isolation Valves**: Local shut-offs for each appliance
gas_supply_diagnosis.md,15,
gas_supply_diagnosis.md,16,**2. Supply Network Components**
gas_supply_diagnosis.md,17,- **Mains Distribution Pipework**: Utility-owned supply infrastructure
gas_supply_diagnosis.md,18,- **District Governor**: Reduces pressure for local distribution
gas_supply_diagnosis.md,19,- **Service Pipe**: Connection from main to property boundary
gas_supply_diagnosis.md,20,
gas_supply_diagnosis.md,21,**3. Key Pressure Points**
gas_supply_diagnosis.md,22,- **Mains Pressure**: Typically 21-75mbar medium pressure or higher
gas_supply_diagnosis.md,23,"- **Regulated Pressure**: After governor, typically 21mbar (NG) or 37mbar (LPG)"
gas_supply_diagnosis.md,24,"- **Working Pressure**: At appliance, typically 20mbar (NG) or 37mbar (LPG)"
gas_supply_diagnosis.md,25,- **Standing Pressure**: System pressure when no gas flowing
gas_supply_diagnosis.md,26,
gas_supply_diagnosis.md,27,### Gas Types and Properties
gas_supply_diagnosis.md,28,
gas_supply_diagnosis.md,29,**Natural Gas (NG)**
gas_supply_diagnosis.md,30,- Primarily methane (CH₄)
gas_supply_diagnosis.md,31,- Supplied at 21mbar nominal pressure
gas_supply_diagnosis.md,32,- Lower calorific value than LPG
gas_supply_diagnosis.md,33,- Lighter than air (rises if leaked)
gas_supply_diagnosis.md,34,
gas_supply_diagnosis.md,35,**Liquefied Petroleum Gas (LPG)**
gas_supply_diagnosis.md,36,"- Propane or butane, or mixture"
gas_supply_diagnosis.md,37,- Supplied at 37mbar (propane) or 28mbar (butane) nominal pressure
gas_supply_diagnosis.md,38,- Higher calorific value than natural gas
gas_supply_diagnosis.md,39,- Heavier than air (collects at low points if leaked)
gas_supply_diagnosis.md,40,
gas_supply_diagnosis.md,41,## PART 2: EMERGENCY CONTROL VALVE (ECV) ISSUES
gas_supply_diagnosis.md,42,
gas_supply_diagnosis.md,43,### Common ECV Faults
gas_supply_diagnosis.md,44,
gas_supply_diagnosis.md,45,**Symptoms:**
gas_supply_diagnosis.md,46,- Unable to turn valve on/off
gas_supply_diagnosis.md,47,- Gas smell near valve
gas_supply_diagnosis.md,48,- Partial gas flow despite open valve
gas_supply_diagnosis.md,49,- Escaping gas noise
gas_supply_diagnosis.md,50,- Corrosion or visible damage
gas_supply_diagnosis.md,51,
gas_supply_diagnosis.md,52,**Diagnostic Procedures:**
gas_supply_diagnosis.md,53,
gas_supply_diagnosis.md,54,1. **Visual Inspection**
gas_supply_diagnosis.md,55,   - Check for external damage or corrosion
gas_supply_diagnosis.md,56,   - Verify valve handle moves freely (don't force)
gas_supply_diagnosis.md,57,"   - Look for signs of leakage (corrosion, discoloration)"
gas_supply_diagnosis.md,58,   - Check alignment with pipework
gas_supply_diagnosis.md,59,   - Ensure accessibility is maintained
gas_supply_diagnosis.md,60,
gas_supply_diagnosis.md,61,2. **Operational Check**
gas_supply_diagnosis.md,62,   - Test valve operation (if safe)
gas_supply_diagnosis.md,63,   - Verify quarter-turn operation
gas_supply_diagnosis.md,64,   - Check handle alignment with gas flow when open/closed
gas_supply_diagnosis.md,65,   - Listen for abnormal noises during operation
gas_supply_diagnosis.md,66,
gas_supply_diagnosis.md,67,3. **Leak Testing**
gas_supply_diagnosis.md,68,   - Apply leak detection fluid around valve body and connections
