filename,line_number,content
heating_controls_diagnosis.md,1,# Heating Controls Fault Finding Guide
heating_controls_diagnosis.md,2,
heating_controls_diagnosis.md,3,"This comprehensive guide covers diagnostic procedures for central heating control systems, including programmers, thermostats, wiring centers, and smart controls."
heating_controls_diagnosis.md,4,
heating_controls_diagnosis.md,5,## PART 1: UNDERSTANDING HEATING CONTROL SYSTEMS
heating_controls_diagnosis.md,6,
heating_controls_diagnosis.md,7,### Control System Components
heating_controls_diagnosis.md,8,
heating_controls_diagnosis.md,9,**1. Programmers and Timers**
heating_controls_diagnosis.md,10,- **Standard Programmers**: Control heating and hot water timing
heating_controls_diagnosis.md,11,- **Digital Programmers**: Electronic displays with multiple program settings
heating_controls_diagnosis.md,12,- **Mechanical Timers**: Older pin or dial-based timers
heating_controls_diagnosis.md,13,- **WiFi/Smart Programmers**: App-controlled with remote access
heating_controls_diagnosis.md,14,
heating_controls_diagnosis.md,15,**2. Thermostats**
heating_controls_diagnosis.md,16,- **Room Thermostats**: Control ambient temperature
heating_controls_diagnosis.md,17,- **Cylinder Thermostats**: Control hot water temperature
heating_controls_diagnosis.md,18,- **Frost Thermostats**: Prevent freezing in cold weather
heating_controls_diagnosis.md,19,- **Programmable Room Thermostats (PRT)**: Combined programmer and thermostat
heating_controls_diagnosis.md,20,- **Smart Thermostats**: Connected devices with advanced features
heating_controls_diagnosis.md,21,
heating_controls_diagnosis.md,22,**3. Wiring Centers**
heating_controls_diagnosis.md,23,- Central connection point for system components
heating_controls_diagnosis.md,24,- Contains relays and terminal connections
heating_controls_diagnosis.md,25,"- Distributes power to valves, pumps, and boiler"
heating_controls_diagnosis.md,26,
heating_controls_diagnosis.md,27,**4. TRVs (Thermostatic Radiator Valves)**
heating_controls_diagnosis.md,28,- Individual radiator temperature control
heating_controls_diagnosis.md,29,- May include electronic versions in some systems
heating_controls_diagnosis.md,30,
heating_controls_diagnosis.md,31,**5. System Configuration Types**
heating_controls_diagnosis.md,32,- **S Plan**: Uses separate two-port valves for heating and hot water
heating_controls_diagnosis.md,33,- **Y Plan**: Uses a single three-port mid-position valve
heating_controls_diagnosis.md,34,- **W Plan**: Uses a three-port diverter valve
heating_controls_diagnosis.md,35,- **Zoned Systems**: Multiple heating zones with separate controls
heating_controls_diagnosis.md,36,
heating_controls_diagnosis.md,37,## PART 2: COMMON HEATING CONTROL FAULTS
heating_controls_diagnosis.md,38,
heating_controls_diagnosis.md,39,### Programmer/Timer Issues
heating_controls_diagnosis.md,40,
heating_controls_diagnosis.md,41,**Common Symptoms:**
heating_controls_diagnosis.md,42,- Display blank or showing error codes
heating_controls_diagnosis.md,43,- Heating runs at incorrect times
heating_controls_diagnosis.md,44,- Programs not being followed
heating_controls_diagnosis.md,45,- Intermittent operation
heating_controls_diagnosis.md,46,- Unable to override settings
heating_controls_diagnosis.md,47,- Heating or hot water won't turn on/off
heating_controls_diagnosis.md,48,
heating_controls_diagnosis.md,49,**Typical Causes:**
heating_controls_diagnosis.md,50,- Power supply issues
heating_controls_diagnosis.md,51,- Battery failure (for battery-backed models)
heating_controls_diagnosis.md,52,- Corrupted programming
heating_controls_diagnosis.md,53,- Faulty buttons or switches
heating_controls_diagnosis.md,54,- Internal relay failure
heating_controls_diagnosis.md,55,- Incorrect time/date settings
heating_controls_diagnosis.md,56,- Wiring faults
heating_controls_diagnosis.md,57,
heating_controls_diagnosis.md,58,### Thermostat Issues
heating_controls_diagnosis.md,59,
heating_controls_diagnosis.md,60,**Common Symptoms:**
heating_controls_diagnosis.md,61,- Heating doesn't respond to temperature changes
heating_controls_diagnosis.md,62,- Constant or no heating regardless of setting
heating_controls_diagnosis.md,63,- Erratic operation
heating_controls_diagnosis.md,64,- Blank display (digital models)
heating_controls_diagnosis.md,65,- Relay clicking but no response from boiler
heating_controls_diagnosis.md,66,- Incorrect temperature readings
heating_controls_diagnosis.md,67,
heating_controls_diagnosis.md,68,**Typical Causes:**
heating_controls_diagnosis.md,69,- Power/battery issues
heating_controls_diagnosis.md,70,- Poor placement (near heat sources/drafts)
heating_controls_diagnosis.md,71,- Damaged wiring
heating_controls_diagnosis.md,72,- Internal sensor failure
heating_controls_diagnosis.md,73,- Relay contacts worn
heating_controls_diagnosis.md,74,- RF signal issues (wireless models)
heating_controls_diagnosis.md,75,- Incorrect calibration
heating_controls_diagnosis.md,76,
heating_controls_diagnosis.md,77,### Wiring Center Faults
heating_controls_diagnosis.md,78,
heating_controls_diagnosis.md,79,**Common Symptoms:**
heating_controls_diagnosis.md,80,- Multiple system components not working
heating_controls_diagnosis.md,81,- Intermittent system operation
heating_controls_diagnosis.md,82,- Blown fuses
heating_controls_diagnosis.md,83,- Overheating
heating_controls_diagnosis.md,84,- Audible buzzing or humming
heating_controls_diagnosis.md,85,- System operates in unexpected ways
heating_controls_diagnosis.md,86,
heating_controls_diagnosis.md,87,**Typical Causes:**
heating_controls_diagnosis.md,88,- Loose connections
heating_controls_diagnosis.md,89,- Water ingress damage
heating_controls_diagnosis.md,90,- Failed relays
heating_controls_diagnosis.md,91,- Short circuits
heating_controls_diagnosis.md,92,- Burnt contacts
heating_controls_diagnosis.md,93,- Incorrect wiring
heating_controls_diagnosis.md,94,- Power surges
heating_controls_diagnosis.md,95,
heating_controls_diagnosis.md,96,### Smart Control System Issues
heating_controls_diagnosis.md,97,
heating_controls_diagnosis.md,98,**Common Symptoms:**
heating_controls_diagnosis.md,99,- App disconnection
heating_controls_diagnosis.md,100,- Offline status
heating_controls_diagnosis.md,101,- Unresponsive to commands
heating_controls_diagnosis.md,102,- Gateway/hub connection issues
heating_controls_diagnosis.md,103,- Scheduling failures
heating_controls_diagnosis.md,104,- Incorrect temperature readings
heating_controls_diagnosis.md,105,- Battery drain
heating_controls_diagnosis.md,106,
heating_controls_diagnosis.md,107,**Typical Causes:**
heating_controls_diagnosis.md,108,- WiFi connectivity problems
heating_controls_diagnosis.md,109,- Server outages
heating_controls_diagnosis.md,110,- Firmware bugs
heating_controls_diagnosis.md,111,- Configuration errors
heating_controls_diagnosis.md,112,- Router issues
heating_controls_diagnosis.md,113,- Battery failure
heating_controls_diagnosis.md,114,- Gateway/bridge failure
heating_controls_diagnosis.md,115,
heating_controls_diagnosis.md,116,## PART 3: DIAGNOSTIC PROCEDURES
heating_controls_diagnosis.md,117,
heating_controls_diagnosis.md,118,### Initial Assessment
heating_controls_diagnosis.md,119,
heating_controls_diagnosis.md,120,1. **Gather Information**
heating_controls_diagnosis.md,121,   - When did the issue start?
heating_controls_diagnosis.md,122,   - What components are affected?
heating_controls_diagnosis.md,123,   - Any recent changes to the system?
heating_controls_diagnosis.md,124,   - Are there error codes displayed?
heating_controls_diagnosis.md,125,   - Is the issue intermittent or constant?
heating_controls_diagnosis.md,126,
heating_controls_diagnosis.md,127,2. **Power Supply Check**
heating_controls_diagnosis.md,128,   - Verify mains power to programmer/wiring center
heating_controls_diagnosis.md,129,   - Check fuses and circuit breakers
heating_controls_diagnosis.md,130,   - Test batteries in wireless devices
heating_controls_diagnosis.md,131,   - Look for signs of electrical damage
heating_controls_diagnosis.md,132,
heating_controls_diagnosis.md,133,3. **Basic Operation Test**
heating_controls_diagnosis.md,134,   - Try manual override functions
