filename,line_number,content
open_vent_system_diagnosis.md,1,# Open Vent Heating System Fault Finding Guide
open_vent_system_diagnosis.md,2,
open_vent_system_diagnosis.md,3,"This comprehensive guide covers diagnostic procedures for open vent heating systems, including feed and expansion tanks, open vent pipes, cold feed issues, and header tank problems."
open_vent_system_diagnosis.md,4,
open_vent_system_diagnosis.md,5,## PART 1: UNDERSTANDING OPEN VENT SYSTEMS
open_vent_system_diagnosis.md,6,
open_vent_system_diagnosis.md,7,### Open Vent System Components
open_vent_system_diagnosis.md,8,
open_vent_system_diagnosis.md,9,**1. Feed and Expansion (F&E) Tank**
open_vent_system_diagnosis.md,10,- **Location**: Typically in loft/highest point
open_vent_system_diagnosis.md,11,"- **Functions**: System filling, pressure regulation, expansion volume"
open_vent_system_diagnosis.md,12,"- **Components**: Float valve, overflow, insulation, lid"
open_vent_system_diagnosis.md,13,"- **Connections**: Cold feed down, open vent up, overflow, mains supply"
open_vent_system_diagnosis.md,14,
open_vent_system_diagnosis.md,15,**2. Open Vent Pipe**
open_vent_system_diagnosis.md,16,- **Location**: Rises from boiler/system to above F&E tank water level
open_vent_system_diagnosis.md,17,- **Function**: Safety device allowing steam/water escape during overheat
open_vent_system_diagnosis.md,18,"- **Requirements**: 22mm minimum, continuous rise, no valves"
open_vent_system_diagnosis.md,19,- **Termination**: Must discharge visibly above water level in F&E tank
open_vent_system_diagnosis.md,20,
open_vent_system_diagnosis.md,21,**3. Cold Feed Pipe**
open_vent_system_diagnosis.md,22,- **Location**: From base of F&E tank to return side of system
open_vent_system_diagnosis.md,23,- **Function**: Provides make-up water and creates system pressure
open_vent_system_diagnosis.md,24,"- **Requirements**: 15mm minimum, no valves that could cause isolation"
open_vent_system_diagnosis.md,25,- **Configuration**: Connects at neutral point (typically boiler return or low loss header)
open_vent_system_diagnosis.md,26,
open_vent_system_diagnosis.md,27,**4. System Components**
open_vent_system_diagnosis.md,28,- **Air separators**: Often at high points
open_vent_system_diagnosis.md,29,- **Motorized valves**: May separate heating and hot water circuits
open_vent_system_diagnosis.md,30,- **Pumps**: Circulation for both heating and hot water
open_vent_system_diagnosis.md,31,- **Cylinder**: Indirect heat exchange for hot water
open_vent_system_diagnosis.md,32,- **System pressure**: Created by gravitational head from F&E tank
open_vent_system_diagnosis.md,33,
open_vent_system_diagnosis.md,34,### Operational Principles
open_vent_system_diagnosis.md,35,
open_vent_system_diagnosis.md,36,**Pressure Management:**
open_vent_system_diagnosis.md,37,- Static pressure from vertical height (1 bar per 10.2m)
open_vent_system_diagnosis.md,38,- Expansion accommodated by increasing water level in F&E tank
open_vent_system_diagnosis.md,39,- Overpressure protection via open vent pipe
open_vent_system_diagnosis.md,40,- System automatically maintains pressure via float valve
open_vent_system_diagnosis.md,41,
open_vent_system_diagnosis.md,42,**Safety Features:**
open_vent_system_diagnosis.md,43,- No pressurization pump required
open_vent_system_diagnosis.md,44,- Inherent overpressure protection
open_vent_system_diagnosis.md,45,"- Visible indication of system problems (overflow, water level)"
open_vent_system_diagnosis.md,46,- Auto air removal via open vent
open_vent_system_diagnosis.md,47,- Self-regulating water level
open_vent_system_diagnosis.md,48,
open_vent_system_diagnosis.md,49,**Common Applications:**
open_vent_system_diagnosis.md,50,- Traditional domestic heating systems
open_vent_system_diagnosis.md,51,- Gravity hot water systems
open_vent_system_diagnosis.md,52,- Some commercial applications
open_vent_system_diagnosis.md,53,- Systems with heat-leak radiators for power outages
open_vent_system_diagnosis.md,54,- Solid fuel compatible systems
open_vent_system_diagnosis.md,55,
open_vent_system_diagnosis.md,56,## PART 2: FEED AND EXPANSION TANK ISSUES
open_vent_system_diagnosis.md,57,
open_vent_system_diagnosis.md,58,### Common F&E Tank Faults
open_vent_system_diagnosis.md,59,
open_vent_system_diagnosis.md,60,**Symptoms:**
open_vent_system_diagnosis.md,61,- Water dripping from overflow pipe
open_vent_system_diagnosis.md,62,- Frequent need to top up system
open_vent_system_diagnosis.md,63,- Excessive noise in system
open_vent_system_diagnosis.md,64,- Radiators requiring frequent bleeding
open_vent_system_diagnosis.md,65,- Water level too high or too low
open_vent_system_diagnosis.md,66,- Tank overflowing during heating
open_vent_system_diagnosis.md,67,- Frozen tank in winter
open_vent_system_diagnosis.md,68,- Corrosion and leaks from tank
open_vent_system_diagnosis.md,69,
open_vent_system_diagnosis.md,70,**Diagnostic Procedures:**
open_vent_system_diagnosis.md,71,
open_vent_system_diagnosis.md,72,1. **Visual Inspection**
open_vent_system_diagnosis.md,73,   - Check water level (should be 1/3 to 1/2 full when cold)
open_vent_system_diagnosis.md,74,   - Inspect for cracks or leaks
open_vent_system_diagnosis.md,75,   - Verify correct lid position and insulation
open_vent_system_diagnosis.md,76,   - Examine connections for leaks
open_vent_system_diagnosis.md,77,   - Check overflow pipe condition
open_vent_system_diagnosis.md,78,   - Look for signs of previous overflow (staining)
open_vent_system_diagnosis.md,79,
open_vent_system_diagnosis.md,80,2. **Float Valve Assessment**
open_vent_system_diagnosis.md,81,   - Manually test float valve operation
open_vent_system_diagnosis.md,82,   - Check for free movement without binding
open_vent_system_diagnosis.md,83,   - Verify valve shuts off completely
open_vent_system_diagnosis.md,84,   - Examine float for water ingress
open_vent_system_diagnosis.md,85,   - Check valve washer condition
open_vent_system_diagnosis.md,86,   - Test for correct water level setting
open_vent_system_diagnosis.md,87,
open_vent_system_diagnosis.md,88,3. **Connection Verification**
open_vent_system_diagnosis.md,89,   - Verify cold feed and vent pipes correctly positioned
open_vent_system_diagnosis.md,90,   - Check for corrosion at pipe connections
open_vent_system_diagnosis.md,91,   - Ensure no valves on open vent or cold feed
open_vent_system_diagnosis.md,92,   - Confirm overflow is correctly routed outside
open_vent_system_diagnosis.md,93,   - Verify adequate tank support
open_vent_system_diagnosis.md,94,
open_vent_system_diagnosis.md,95,**Common Faults and Solutions:**
open_vent_system_diagnosis.md,96,
open_vent_system_diagnosis.md,97,1. **Overflowing Tank**
open_vent_system_diagnosis.md,98,"   - Symptoms: Water from overflow, constantly running float valve"
open_vent_system_diagnosis.md,99,"   - Cause: Faulty float valve, incorrect water level setting"
open_vent_system_diagnosis.md,100,   - Solution:
open_vent_system_diagnosis.md,101,     * Replace float valve washer
open_vent_system_diagnosis.md,102,     * Adjust or replace float valve
open_vent_system_diagnosis.md,103,     * Verify correct arm adjustment
open_vent_system_diagnosis.md,104,     * Check for float valve obstruction
open_vent_system_diagnosis.md,105,     * Ensure valve seat is clean and undamaged
open_vent_system_diagnosis.md,106,
open_vent_system_diagnosis.md,107,2. **Low Water Level**
open_vent_system_diagnosis.md,108,"   - Symptoms: System needs frequent topping up, air in radiators"
open_vent_system_diagnosis.md,109,"   - Cause: System leaks, float valve set too low"
open_vent_system_diagnosis.md,110,   - Solution:
open_vent_system_diagnosis.md,111,     * Inspect system for leaks
open_vent_system_diagnosis.md,112,     * Adjust float valve water level
open_vent_system_diagnosis.md,113,     * Check for blocked cold feed
open_vent_system_diagnosis.md,114,     * Verify float valve operation
open_vent_system_diagnosis.md,115,     * Look for leaking pipe connections
open_vent_system_diagnosis.md,116,
open_vent_system_diagnosis.md,117,3. **Tank Freezing**
open_vent_system_diagnosis.md,118,"   - Symptoms: No heat, overflow pipe frozen, tank ice formation"
open_vent_system_diagnosis.md,119,"   - Cause: Inadequate insulation, extreme cold"
open_vent_system_diagnosis.md,120,   - Solution:
open_vent_system_diagnosis.md,121,     * Properly insulate tank and adjacent pipes
